,prob,S_label,true_label_proxy,marginalize
211,1,True,1,True
212,0,False,0,True
215,1,True,1,True
217,1,False,1,True
218,1,False,1,True
219,1,True,1,True
220,1,False,1,True
221,0,True,1,True
222,0,False,1,True
227,1,False,0,True
228,1,False,0,True
229,0,False,1,True
230,0,False,0,True
231,1,False,1,True
232,1,False,1,True
234,1,False,1,True
235,0,False,0,True
236,1,False,0,True
237,0,False,0,True
238,1,True,1,True
239,1,False,1,True
240,1,True,0,True
241,1,False,1,True
243,1,True,1,True
244,1,True,1,True
245,1,False,1,True
246,1,False,1,True
248,1,False,1,True
249,0,True,0,True
250,1,True,1,True
251,1,True,1,True
253,1,False,1,True
255,1,False,1,True
256,1,False,1,True
257,0,False,0,True
258,1,True,1,True
259,1,True,1,True
260,1,False,1,True
261,1,True,1,True
262,1,False,1,True
265,1,False,0,True
266,1,False,1,True
267,1,True,1,True
268,1,False,0,True
269,1,False,1,True
270,1,False,1,True
271,1,True,1,True
272,0,False,1,True
273,0,False,0,True
274,1,False,0,True
275,1,False,1,True
276,1,True,1,True
277,1,False,1,True
278,1,True,0,True
281,1,False,1,True
282,1,False,1,True
284,0,False,1,True
285,1,True,1,True
286,0,False,1,True
287,1,False,1,True
288,1,True,1,True
290,1,False,1,True
291,0,False,0,True
292,1,True,1,True
293,0,False,1,True
294,1,False,1,True
295,1,True,0,True
296,0,True,1,True
298,1,False,1,True
300,1,True,1,True
301,0,True,0,True
302,1,False,0,True
303,1,False,1,True
304,1,False,0,True
305,1,False,1,True
306,1,True,1,True
307,1,False,0,True
309,0,False,1,True
311,0,False,1,True
312,1,True,1,True
313,1,False,0,True
314,1,False,1,True
315,1,False,0,True
316,1,False,1,True
318,1,False,1,True
319,1,True,1,True
320,0,False,0,True
321,1,False,0,True
322,1,False,1,True
323,1,False,1,True
324,1,True,1,True
325,1,False,1,True
326,1,False,1,True
327,1,True,1,True
328,1,False,1,True
330,0,False,1,True
331,1,True,0,True
332,0,True,0,True
333,0,True,0,True
334,0,False,0,True
335,1,False,0,True
336,1,True,1,True
337,0,True,0,True
338,0,False,1,True
339,1,False,1,True
341,1,True,1,True
342,1,False,1,True
343,1,False,1,True
344,1,False,1,True
345,1,True,1,True
347,1,True,1,True
348,1,False,1,True
349,1,False,0,True
351,1,True,0,True
353,0,False,0,True
356,1,False,1,True
357,0,False,0,True
358,1,False,1,True
359,1,True,0,True
360,0,False,1,True
361,1,False,1,True
364,0,False,0,True
365,1,False,1,True
366,1,False,1,True
367,0,True,1,True
368,1,False,0,True
369,1,True,1,True
370,0,False,1,True
371,1,False,1,True
372,1,True,1,True
373,1,False,1,True
374,0,True,0,True
375,1,True,0,True
376,1,False,1,True
377,1,False,1,True
378,0,False,0,True
379,1,True,1,True
380,1,False,1,True
381,0,True,0,True
382,1,True,1,True
383,0,False,1,True
384,1,False,1,True
385,1,True,1,True
386,1,True,1,True
388,1,False,1,True
389,1,True,1,True
391,1,True,1,True
392,0,False,1,True
393,1,True,1,True
394,1,False,1,True
395,1,False,1,True
396,1,True,1,True
397,1,False,1,True
398,1,False,0,True
400,1,False,1,True
401,0,False,1,True
402,0,False,0,True
403,0,False,1,True
404,1,False,1,True
405,1,False,0,True
406,1,False,1,True
407,1,False,1,True
408,1,False,1,True
409,1,False,0,True
410,1,True,1,True
411,1,False,1,True
412,1,False,0,True
413,1,False,1,True
414,1,True,0,True
415,1,False,1,True
416,1,False,0,True
417,1,True,1,True
419,0,True,0,True
420,1,True,1,True
421,0,False,1,True
422,1,False,1,True
423,1,False,1,True
425,0,False,1,True
426,1,False,1,True
427,1,False,1,True
429,1,True,0,True
430,1,False,1,True
431,0,False,0,True
432,1,False,1,True
433,1,False,1,True
436,1,False,1,True
438,0,False,1,True
439,1,True,0,True
440,1,False,1,True
441,1,True,1,True
442,1,False,1,True
443,1,False,0,True
444,1,True,0,True
445,1,True,1,True
447,1,False,1,True
448,1,True,1,True
449,1,False,0,True
450,0,False,1,True
451,1,True,1,True
452,1,False,1,True
453,1,False,1,True
454,1,False,0,True
457,0,False,0,True
459,0,False,1,True
460,1,False,1,True
461,1,False,1,True
462,0,True,1,True
463,1,False,1,True
465,0,False,1,True
466,1,True,0,True
467,1,False,1,True
469,1,False,1,True
470,0,False,0,True
471,1,True,0,True
473,1,False,1,True
474,1,False,0,True
475,1,True,0,True
476,1,False,1,True
477,0,False,1,True
478,1,False,1,True
479,1,False,1,True
480,1,True,1,True
481,0,False,1,True
482,1,True,1,True
483,1,True,1,True
485,1,False,0,True
486,1,False,1,True
488,0,False,1,True
489,1,False,1,True
490,1,False,1,True
491,0,True,0,True
492,1,True,1,True
493,1,False,1,True
494,0,False,1,True
495,1,False,0,True
496,0,False,0,True
497,1,False,1,True
498,1,False,1,True
499,1,False,1,True
500,0,True,0,True
501,0,False,1,True
502,1,False,1,True
503,0,False,0,True
504,0,True,0,True
505,1,False,0,True
506,1,False,1,True
507,0,False,0,True
508,1,False,1,True
509,1,False,1,True
513,0,False,1,True
514,0,False,1,True
516,1,False,1,True
517,1,True,0,True
518,1,False,1,True
519,1,False,1,True
520,0,False,1,True
522,0,False,0,True
524,1,True,1,True
525,0,False,1,True
526,1,True,1,True
528,0,False,0,True
530,0,False,1,True
531,0,True,0,True
532,1,False,1,True
533,1,False,1,True
534,0,False,1,True
535,1,False,0,True
538,0,False,0,True
540,1,False,0,True
542,1,False,0,True
543,1,False,0,True
544,1,False,1,True
545,0,False,0,True
547,1,False,1,True
548,1,True,0,True
549,1,False,1,True
551,1,False,1,True
552,1,False,0,True
554,1,True,1,True
555,1,False,0,True
556,0,True,0,True
557,0,True,0,True
558,0,False,0,True
559,1,False,0,True
560,0,False,1,True
561,1,False,0,True
564,0,False,1,True
565,1,True,1,True
566,1,False,0,True
567,1,False,1,True
568,0,False,1,True
569,1,True,0,True
570,0,True,0,True
571,1,False,1,True
572,0,True,1,True
573,0,True,1,True
574,1,False,1,True
575,1,True,1,True
576,1,True,1,True
577,1,True,1,True
578,0,False,0,True
579,0,False,1,True
580,1,False,0,True
582,1,True,1,True
583,0,False,0,True
584,1,True,1,True
585,1,True,0,True
586,1,False,1,True
587,1,False,1,True
589,1,False,0,True
590,1,True,1,True
591,0,True,1,True
592,1,True,1,True
594,1,False,0,True
596,0,True,0,True
597,0,False,0,True
598,1,False,0,True
599,1,False,1,True
600,1,True,1,True
601,1,True,0,True
604,1,True,1,True
605,1,False,1,True
606,1,False,1,True
607,0,True,0,True
608,1,False,1,True
609,0,False,1,True
610,1,True,0,True
612,1,True,1,True
613,1,True,1,True
615,0,False,1,True
616,1,False,1,True
618,0,True,0,True
619,1,False,1,True
620,1,False,1,True
621,1,False,0,True
623,1,True,1,True
624,0,False,0,True
625,1,False,1,True
626,1,False,1,True
627,1,False,0,True
628,1,False,1,True
629,1,False,1,True
630,1,True,1,True
631,0,False,0,True
632,0,False,1,True
633,1,True,0,True
634,0,True,0,True
635,1,False,1,True
636,1,True,1,True
637,1,False,1,True
638,1,True,1,True
640,1,True,0,True
641,0,False,1,True
642,0,False,0,True
643,1,False,1,True
644,1,False,1,True
645,0,False,0,True
646,1,False,1,True
648,0,False,0,True
649,0,False,0,True
650,0,False,1,True
652,1,False,0,True
653,1,False,0,True
654,1,False,1,True
656,0,False,0,True
657,1,False,1,True
658,0,True,1,True
660,0,False,1,True
661,0,False,0,True
662,1,False,1,True
663,1,False,1,True
666,1,False,1,True
667,1,True,1,True
668,1,False,0,True
669,1,False,1,True
670,0,False,1,True
671,1,False,1,True
672,1,False,1,True
673,1,False,1,True
674,1,False,0,True
675,1,True,1,True
676,1,False,1,True
677,0,False,0,True
679,1,True,1,True
680,1,True,1,True
681,0,False,1,True
682,1,False,1,True
683,0,False,1,True
687,0,False,1,True
688,1,False,1,True
689,1,False,1,True
691,0,True,1,True
692,0,False,1,True
693,1,False,1,True
694,1,False,1,True
695,1,False,1,True
696,1,False,1,True
697,1,True,1,True
698,1,False,1,True
699,0,False,1,True
701,0,False,0,True
702,1,True,1,True
704,0,True,1,True
705,1,True,1,True
706,0,False,0,True
707,0,True,0,True
708,1,True,1,True
709,1,False,1,True
710,1,False,1,True
711,1,True,0,True
712,1,False,1,True
713,1,False,1,True
715,1,False,1,True
717,0,False,1,True
718,0,False,1,True
719,0,False,1,True
720,0,False,0,True
721,1,True,0,True
722,1,True,0,True
723,1,True,1,True
724,0,True,0,True
725,1,True,1,True
726,1,False,1,True
727,0,True,0,True
728,0,True,0,True
729,1,False,1,True
731,1,False,0,True
732,1,True,1,True
733,1,True,1,True
734,1,True,1,True
735,0,True,1,True
736,0,True,0,True
737,0,False,1,True
738,1,False,1,True
739,0,True,0,True
740,1,False,1,True
741,0,False,1,True
742,1,False,1,True
743,1,False,1,True
744,1,False,1,True
745,0,False,1,True
746,0,True,1,True
747,1,True,0,True
748,0,False,1,True
749,1,False,1,True
752,1,True,1,True
753,1,True,1,True
754,1,False,0,True
755,1,True,0,True
756,1,False,1,True
757,0,False,0,True
758,1,False,1,True
759,1,False,0,True
760,1,True,1,True
761,1,True,0,True
762,1,False,1,True
763,0,False,0,True
764,1,False,1,True
765,1,False,1,True
767,1,True,1,True
768,1,False,1,True
769,1,False,1,True
770,1,True,1,True
771,0,True,0,True
772,1,False,1,True
773,1,False,1,True
774,1,False,1,True
775,0,True,0,True
776,1,False,1,True
777,1,True,1,True
778,1,False,1,True
780,1,False,0,True
781,1,False,1,True
782,1,False,1,True
783,0,True,0,True
785,1,False,1,True
787,1,False,1,True
788,0,False,0,True
790,1,True,0,True
791,0,False,1,True
792,1,False,1,True
794,1,False,1,True
795,1,True,1,True
796,1,False,0,True
798,1,False,1,True
801,1,True,1,True
802,1,True,1,True
803,1,False,1,True
804,0,True,1,True
805,1,False,0,True
807,1,False,1,True
808,0,False,1,True
809,0,True,0,True
810,0,False,1,True
811,1,False,1,True
812,1,False,0,True
815,1,True,1,True
817,1,True,1,True
818,1,False,1,True
819,0,False,0,True
820,0,False,1,True
821,0,False,1,True
823,1,False,1,True
826,1,True,0,True
828,0,False,0,True
830,1,False,1,True
831,0,True,0,True
832,0,False,0,True
834,1,True,0,True
835,0,False,0,True
836,1,True,1,True
837,1,True,1,True
838,1,False,1,True
839,1,False,1,True
840,1,False,0,True
842,0,True,0,True
843,1,False,1,True
844,0,False,1,True
845,1,False,1,True
847,0,False,1,True
848,1,False,1,True
849,1,False,0,True
850,1,False,0,True
851,1,False,1,True
852,0,False,1,True
853,0,False,0,True
856,1,True,1,True
857,0,False,1,True
858,0,True,0,True
859,1,False,1,True
861,1,False,0,True
864,1,False,0,True
865,1,True,1,True
866,1,True,1,True
867,1,False,1,True
868,0,False,1,True
872,1,False,1,True
874,1,False,1,True
875,1,True,1,True
876,0,False,1,True
877,1,False,1,True
880,0,False,1,True
881,0,False,1,True
882,1,False,1,True
883,1,True,1,True
885,1,True,0,True
886,0,False,1,True
887,0,False,0,True
888,1,False,1,True
889,0,False,1,True
890,1,False,1,True
891,1,False,1,True
892,1,False,1,True
895,1,False,1,True
896,0,True,1,True
897,1,True,1,True
898,1,True,1,True
900,1,False,0,True
902,1,False,1,True
904,1,False,1,True
905,1,False,1,True
906,1,False,1,True
907,0,False,1,True
908,1,True,1,True
909,1,True,1,True
910,1,True,1,True
912,1,True,1,True
914,0,False,0,True
915,1,True,0,True
916,1,False,1,True
917,1,False,0,True
918,1,False,0,True
920,1,True,1,True
922,1,True,0,True
923,0,False,1,True
924,1,False,0,True
925,0,False,0,True
926,1,True,1,True
927,0,False,0,True
928,1,False,1,True
929,1,False,1,True
930,0,False,1,True
931,1,True,0,True
932,1,False,1,True
933,1,False,1,True
934,1,True,1,True
935,0,False,0,True
936,1,True,0,True
938,0,False,0,True
940,1,False,1,True
941,0,False,1,True
942,1,False,1,True
943,1,False,1,True
944,1,True,1,True
945,1,True,1,True
946,0,False,0,True
948,1,False,0,True
949,1,False,0,True
950,0,False,1,True
954,1,True,1,True
955,1,True,1,True
956,1,False,1,True
957,1,False,1,True
958,0,False,0,True
959,0,False,1,True
960,1,False,1,True
961,1,False,1,True
962,0,False,1,True
963,1,False,0,True
964,0,False,1,True
965,0,True,1,True
966,1,False,0,True
968,1,False,1,True
969,1,False,1,True
971,1,False,1,True
972,0,True,0,True
973,0,False,0,True
974,1,True,1,True
975,1,True,1,True
976,1,True,1,True
977,1,False,1,True
978,1,False,0,True
979,0,False,0,True
980,1,False,0,True
984,1,False,1,True
985,1,True,1,True
986,0,False,1,True
987,1,True,1,True
988,0,False,1,True
989,1,False,1,True
990,1,False,1,True
991,1,False,1,True
992,1,False,1,True
994,1,False,1,True
995,1,True,1,True
996,0,False,1,True
997,1,False,1,True
998,0,False,0,True
999,0,False,1,True
